date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,date11,date12,date13,date14,date15,date16,date17,date18,date19,date20,date21,date22,date23,date24,date25,date26,date27,date28,date29,date30,date31,date32
2454678.625,2454687.625,2454697.625,2454706.625,2454718.625,2454729.625,2454743.625,2454750.625,2455037.625,2455049.625,2455061.625,2455072.625,2455083.625,2455096.625,2455110.625,2455121.625,2455462.625,2455474.625,2455483.625,2455491.625,2455514.625,2455515.625,2455527.625,2455538.625,2455822.625,2455832.625,2455842.625,2455852.625,2455862.625,2455881.625,2455895.625,2455904.625
2454678.625,2454687.625,2454697.625,2454706.625,2454718.625,2454729.625,2454742.625,2454751.625,2455037.625,2455049.625,2455061.625,2455073.625,2455083.625,2455096.625,2455110.625,2455121.625,2455462.625,2455474.625,2455483.625,2455491.625,2455514.625,2455515.625,NA,2455538.625,2455822.625,2455832.625,2455842.625,2455852.625,2455862.625,2455881.625,2455895.625,2455904.625
NA,NA,NA,NA,NA,NA,NA,NA,2455038.625,2455049.625,2455061.625,2455072.625,2455083.625,2455096.625,2455110.625,2455121.625,2455462.625,2455474.625,2455483.625,2455491.625,2455514.625,2455515.625,2455527.625,2455538.625,2455822.625,2455832.625,2455842.625,2455852.625,2455862.625,2455881.625,2455895.625,2455904.625
2454678.625,2454687.625,2454697.625,2454705.625,2454718.625,2454729.625,2454742.625,2454750.625,2455037.625,2455049.625,2455061.625,2455072.625,2455083.625,2455096.625,2455110.625,2455121.625,2455462.625,2455474.625,2455483.625,2455491.625,2455514.625,2455515.625,2455527.625,2455538.625,2455822.625,2455832.625,2455842.625,2455852.625,2455862.625,2455881.625,2455894.625,2455904.625
2454678.625,2454688.625,2454697.625,2454706.625,2454719.625,2454730.625,2454743.625,2454751.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2454678.625,2454687.625,2454697.625,2454706.625,2454719.625,2454730.625,2454743.625,2454751.625,2455038.625,2455049.625,2455061.625,2455072.625,2455084.625,2455097.625,2455109.625,2455122.625,2455462.625,2455473.625,2455482.625,2455491.625,2455500.625,2455515.625,2455526.625,NA,2455822.625,2455832.625,2455842.625,2455853.625,2455862.625,2455882.625,2455896.625,NA
2454678.625,2454687.625,2454696.625,2454706.625,2454719.625,2454730.625,2454743.625,2454751.625,2455037.625,2455049.625,2455061.625,2455072.625,2455084.625,2455096.625,2455109.625,2455121.625,2455462.625,2455473.625,2455482.625,2455491.625,2455500.625,2455514.625,2455526.625,2455538.625,2455822.625,2455832.625,2455842.625,2455853.625,2455862.625,2455882.625,2455896.625,NA
2454678.625,2454686.625,2454697.625,2454706.625,2454719.625,2454730.625,2454743.625,2454751.625,2455037.625,2455049.625,2455061.625,2455072.625,2455083.625,2455096.625,2455109.625,2455122.625,2455462.625,2455473.625,2455482.625,2455491.625,2455500.625,2455514.625,2455527.625,2455538.625,2455822.625,2455832.625,2455842.625,2455853.625,2455862.625,2455881.625,2455896.625,2455903.625
2454678.625,2454686.625,2454697.625,2454706.625,2454719.625,2454730.625,2454743.625,2454751.625,2455037.625,2455049.625,2455061.625,2455072.625,2455083.625,2455096.625,2455109.625,2455122.625,2455462.625,2455473.625,2455482.625,2455491.625,2455500.625,2455514.625,2455527.625,2455538.625,2455822.625,2455832.625,2455842.625,2455853.625,2455862.625,2455881.625,2455896.625,2455903.625
2454678.625,2454686.625,2454697.625,2454705.625,2454718.625,2454729.625,2454742.625,2454750.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2454678.625,2454686.625,2454696.625,2454705.625,2454718.625,2454729.625,2454742.625,2454750.625,2455038.625,2455049.625,2455061.625,2455073.625,2455084.625,2455097.625,2455110.625,2455120.625,2455462.625,2455473.625,2455482.625,2455490.625,2455514.625,2455514.625,2455526.625,2455538.625,2455822.625,2455832.625,2455842.625,2455853.625,2455862.625,2455882.625,2455895.625,2455904.625
2454678.625,2454686.625,2454696.625,2454705.625,2454718.625,2454729.625,2454742.625,2454750.625,2455038.625,2455049.625,2455061.625,2455073.625,2455084.625,2455097.625,2455110.625,2455121.625,2455462.625,2455473.625,2455482.625,2455490.625,2455514.625,2455514.625,2455526.625,2455538.625,2455822.625,2455832.625,2455842.625,2455853.625,2455862.625,2455881.625,2455895.625,2455904.625
