primary,secondary,plantation,stream,settlement
97.16,0,2.84,325.27,7176.94
51.97,0,48.03,105.31,7042.45
70.79,0,29.2,383.03,7228.94
57.98,0,41.65,185.73,5821.93
0,0,100,28.56,4265.29
77.36,0,18.16,169.6,4864.92
48.19,51.81,0,86.96,3763.48
97.58,0,0,196.57,2274.43
100,0,0,242.67,1209.22
6.94,0,93.06,332.05,2826.45
51.22,40.37,8.41,341.09,5563.21
54.87,45.13,0,180.07,6037.72
